url,video_id,upload_time,title,description
https://www.youtube.com/watch?v=YAdS20mr4Ug,YAdS20mr4Ug,2023-09-19T21:30:02Z,Kim Jong Un’s Bullet Proof Train,Why North Korea's dictator is visiting Russia. Check out my new channel with Sam Ellis - Search Party: ...
https://www.youtube.com/watch?v=nTNeRj_JaeM,nTNeRj_JaeM,2022-12-13T18:46:33Z,The Onion Fooled A FIFA Official,This FIFA official thought an article from The Onion was real. #shorts Join the Newsroom (over on Patreon) to get access to ...
https://www.youtube.com/watch?v=Cl8gt0Om7UE,Cl8gt0Om7UE,2023-07-27T22:32:31Z,What if the US Dollar Stops Being the Global Currency?,"The US dollar is what most of the world uses for trade, but that's changing. Check out my new channel with Sam Ellis - Search ..."
https://www.youtube.com/watch?v=5ZjUCnUKOcg,5ZjUCnUKOcg,2023-07-28T23:55:42Z,How China is Challenging the US Global Order,What does the current tension between the US and China look like? And should we be panicking? Check out my new channel ...
https://www.youtube.com/watch?v=dBw7t35g678,dBw7t35g678,2023-02-19T15:10:40Z,The Danger of Convicting Julian Assange | Part 4,Watch the full Julian Assange story here: https://youtu.be/P6bVl47kdNk Join the Newsroom (over on Patreon) to get access to ...
https://www.youtube.com/watch?v=i-OCqA_4PlY,i-OCqA_4PlY,2023-02-18T20:53:38Z,Why Julian Assange Lived in An Embassy for 7 Years | Part 2,Watch the full Julian Assange story here: https://youtu.be/P6bVl47kdNk Join the Newsroom (over on Patreon) to get access to ...
https://www.youtube.com/watch?v=ADr0u4jp5_8,ADr0u4jp5_8,2023-10-19T19:57:00Z,How an Algorithm Can Spread Hate,Check out my new channel with Sam Ellis - Search Party: https://youtube.com/@Search-Party Get access to behind-the-scenes ...
https://www.youtube.com/watch?v=qkoqn_MNacM,qkoqn_MNacM,2023-04-25T17:08:42Z,The Economy Runs on Feelings,"This is a clip from Why Recessions Happen: https://youtu.be/EhyOQ0QMINg Get access to behind-the-scenes vlogs, my scripts, ..."
https://www.youtube.com/watch?v=daNBq0dZEQE,daNBq0dZEQE,2023-05-12T16:34:18Z,What &quot;Submarines&quot; Looked Like 2000 Years Ago,"Our bad, Leonardo da Vinci! Get access to behind-the-scenes vlogs, my scripts, and extended interviews over at ..."
https://www.youtube.com/watch?v=nx208Hiw0k0,nx208Hiw0k0,2022-10-17T14:34:05Z,"INFLATION, Explained in 60 Seconds","Here's why everything is getting more expensive. For a more detailed 6-minute explanation, watch this video: ..."
https://www.youtube.com/watch?v=Sxbenow612w,Sxbenow612w,2023-05-23T17:36:39Z,Switzerland Mapped EVERYTHING,"Get access to behind-the-scenes vlogs, my scripts, and extended interviews over at https://www.patreon.com/johnnyharris I made ..."
https://www.youtube.com/watch?v=CcvtP1pI0hQ,CcvtP1pI0hQ,2023-10-02T21:36:24Z,Why Canada and India are Fighting,Tensions are running high between Canada and India. Check out my new channel with Sam Ellis - Search Party: ...
https://www.youtube.com/watch?v=E0NCbvlE5pM,E0NCbvlE5pM,2023-11-21T16:50:39Z,Russia’s anti-Israeli riot,Why an anti-Israeli mob is a problem for Putin. Check out my new channel with Sam Ellis - Search Party: ...
https://www.youtube.com/watch?v=NFXc814vM-o,NFXc814vM-o,2023-02-20T18:44:58Z,You Can&#39;t Steal A Car in Greenland,"Get access to behind-the-scenes vlogs, my scripts, and extended interviews over at https://www.patreon.com/johnnyharris Custom ..."
https://www.youtube.com/watch?v=u0LIs7hVeKs,u0LIs7hVeKs,2023-11-17T14:17:35Z,"The Effects of War, Mapped",One map that shows what happens when two men both want power Check out my new channel with Sam Ellis - Search Party: ...
https://www.youtube.com/watch?v=-JoETTgksIU,-JoETTgksIU,2023-08-04T02:09:29Z,UFOs Are Real and We Have Proof,"We have proof of UFOs, and I can't stop thinking about this specific story. (This video is a re-post) Check out all my sources for this ..."
https://www.youtube.com/watch?v=lezH5MfcyWs,lezH5MfcyWs,2023-06-01T15:19:23Z,Why Sudan&#39;s Conflict May Be Growing,"The world has its eyes on Sudan, here's why. #geopolitics Watch the full video on the conflict in Sudan here: ..."
https://www.youtube.com/watch?v=rthw1kINMpU,rthw1kINMpU,2023-03-21T16:56:19Z,Why Are Maps of Antarctica So Detailed?,The video about mapping Antarctica is actually live on Nebula NOW! Watch now on Nebula (a portion of your subscription goes ...
https://www.youtube.com/watch?v=Z1L1uE3TXdk,Z1L1uE3TXdk,2023-08-29T01:20:35Z,Is Joe Rogan A Conspiracy Theorist?,Joe Rogan used to be an outspoken Moon landing hoax believer. Is he still a conspiracy theorist? Check out my new channel with ...
https://www.youtube.com/watch?v=CuyWWjzvw5o,CuyWWjzvw5o,2023-06-20T00:51:55Z,How Killer Whales are Sinking Boats,"A group of orcas have figured out how to sink boats, and they are teaching other orcas how. Get access to behind-the-scenes ..."
https://www.youtube.com/watch?v=S6W242FxfZA,S6W242FxfZA,2023-05-16T16:58:48Z,How the Diesel Engine Powered Submarines,"This is a clip from ""Submarines Are WAY Scarier Than You Think...Here's Why"": https://youtu.be/AecFpnj383A Get access to ..."
https://www.youtube.com/watch?v=wMqLoNgYheQ,wMqLoNgYheQ,2023-10-11T14:38:41Z,How Hamas Gets Missiles,The tunnels that help Hamas. Check out my new channel with Sam Ellis - Search Party: https://youtube.com/@Search-Party Get ...
https://www.youtube.com/watch?v=Pp4Y1HaNNgg,Pp4Y1HaNNgg,2023-03-30T18:11:48Z,What Antarctica’s Name Really Means,Watch my new video on why Antarctica is the most well-mapped part of the world: https://youtu.be/HF9zRqlN4T0 Get access to ...
https://www.youtube.com/watch?v=ldfT3H4jFgg,ldfT3H4jFgg,2023-02-18T00:34:52Z,The Story of Julian Assange | Part 1,Watch the full Julian Assange story here: https://youtu.be/P6bVl47kdNk Join the Newsroom (over on Patreon) to get access to ...
https://www.youtube.com/watch?v=C85J9eTLuRI,C85J9eTLuRI,2023-08-25T17:03:23Z,Joe Rogan Isn&#39;t Who You Think He Is,We did a Joe Rogan deep-dive to understand who he is and what he thinks. The results might surprise you! Check out my new ...
https://www.youtube.com/watch?v=MEdo-v-QDp8,MEdo-v-QDp8,2023-07-19T13:03:13Z,Deep fakes are becoming PERFECT,
https://www.youtube.com/watch?v=40m5yL86Y78,40m5yL86Y78,2023-10-24T17:09:27Z,Why Invading Gaza Is Harder Than It Looks,Urban warfare is incredibly slow and difficult. Check out my new channel with Sam Ellis - Search Party: ...
https://www.youtube.com/watch?v=0JbTBWISHXQ,0JbTBWISHXQ,2022-10-29T16:38:14Z,Why BTS Have to Serve in the Military,Part 1: https://youtube.com/shorts/Nb2_0Zzv5BE?feature=share #shorts - ways to support - My Patreon: ...
https://www.youtube.com/watch?v=lGaKQybMYv0,lGaKQybMYv0,2023-09-29T16:46:56Z,Should we mine the ocean floor?,This area of the ocean is full of metals we need – but how do we decide if it should be mined and who gets to do it? Check out my ...
