[ 00:00:02.312 -->  00:00:07.943] H SPEAKER_01
[ 00:00:11.237 -->  00:06:24.650] I SPEAKER_01
[ 00:06:25.332 -->  00:07:15.793] J SPEAKER_01
[ 00:07:16.424 -->  00:07:27.448] K SPEAKER_01
[ 00:07:28.182 -->  00:10:30.588] A SPEAKER_00
[ 00:07:38.643 -->  00:07:38.950] L SPEAKER_01
[ 00:10:11.476 -->  00:10:11.902] M SPEAKER_01
[ 00:10:23.813 -->  00:10:24.138] N SPEAKER_01
[ 00:10:31.527 -->  00:10:33.660] O SPEAKER_01
[ 00:10:33.882 -->  00:12:50.674] B SPEAKER_00
[ 00:11:16.476 -->  00:11:17.346] P SPEAKER_01
[ 00:11:54.974 -->  00:11:56.629] Q SPEAKER_01
[ 00:12:51.561 -->  00:13:29.667] R SPEAKER_01
[ 00:13:05.008 -->  00:13:05.742] C SPEAKER_00
[ 00:13:30.998 -->  00:15:22.226] D SPEAKER_00
[ 00:14:03.984 -->  00:14:04.291] S SPEAKER_01
[ 00:15:22.687 -->  00:15:43.199] T SPEAKER_01
[ 00:15:43.438 -->  00:17:44.581] E SPEAKER_00
[ 00:15:52.312 -->  00:15:52.602] U SPEAKER_01
[ 00:16:43.796 -->  00:16:44.001] V SPEAKER_01
[ 00:17:45.025 -->  00:18:02.892] W SPEAKER_01
[ 00:18:03.080 -->  00:18:49.035] F SPEAKER_00
[ 00:18:50.093 -->  00:19:09.206] X SPEAKER_01
[ 00:19:10.076 -->  00:19:49.786] Y SPEAKER_01
[ 00:19:49.018 -->  00:20:02.005] G SPEAKER_00
[ 00:19:57.721 -->  00:19:59.957] Z SPEAKER_01
