url,video_id,upload_time,title,description
https://www.youtube.com/watch?v=None,,2022-03-02T16:20:49Z,RnDAO,RnDAO is a digital swarm focused on the future of work. We operate as a research-led venture studio and composable product ...
https://www.youtube.com/watch?v=None,,2023-11-11T15:15:38Z,The RnDAO Podcast,
https://www.youtube.com/watch?v=None,,2023-11-11T15:14:55Z,RnDAO Talks,
https://www.youtube.com/watch?v=mWV-JRnIGuU,mWV-JRnIGuU,2022-04-27T07:59:15Z,Principles of Social Networks with Tamás Dávid-Berrett,"Humanity is facing an existential crisis. To survive, we must understand how our societies work and where we come from."
https://www.youtube.com/watch?v=AFqJ8TL_WGQ,AFqJ8TL_WGQ,2022-05-30T15:11:20Z,Sociocracy in Web3 with Ted Rau,Ted Rau leads Sociocracy for All - a non-profit dedicated to enabling sociocracy as a sustainable form of governance. And he's ...
https://www.youtube.com/watch?v=uvDAMRQvTpg,uvDAMRQvTpg,2022-04-17T14:28:54Z,Integrating DAOs and Holacracy - a decentralised management framework with Brian Robertson,"Brian Robertson is an entrepreneur, organizational pioneer, and author of the book Holacracy: The New Management System for ..."
https://www.youtube.com/watch?v=3DV4DADHTtY,3DV4DADHTtY,2022-07-09T16:09:39Z,DAO contributor as a service: Designing interfaces for AIs to participate in DAOs with Nintynick,"Nintynick is a DAO mechanism designer & governance facilitator. Contributor to Hats Protocol, Raid Guild, EvenGov, and ..."
https://www.youtube.com/watch?v=yi8siK57dZ0,yi8siK57dZ0,2023-08-15T17:56:04Z,"Three vignettes on decentralization, distribution, and collective intelligence with Joshua Becker","Dr. Joshua Becker, a renowned researcher who specialized in ""collective intelligence,"" discussed ""Three vignettes on ..."
https://www.youtube.com/watch?v=rhd8fwwoVRE,rhd8fwwoVRE,2022-03-28T14:17:03Z,Anticapture with Graham Spencer,"Spencer is a core contributor at DAOhaus, where he helps with product development, internal operations, communications, and ..."
https://www.youtube.com/watch?v=KAo-bnEAtjo,KAo-bnEAtjo,2022-07-18T13:10:24Z,DAOs and the Viable System Model with Angela Espinosa and Jon Walker,"DAOs and the Viable System Model Recorded Tue, Jul 12, 7:00 AM - 8:30 AM PDT Systems Thinking offers us a wealth of insights ..."
https://www.youtube.com/watch?v=lOntcKMaLC8,lOntcKMaLC8,2023-11-28T13:19:11Z,Excitement and criticism of venture studios with Max Pog,"Max Pog, an entrepreneur 3X, is the founder of POGUMAX (a projection technologies company) and HYLS (an online courses ..."
https://www.youtube.com/watch?v=ug-QfeJL25w,ug-QfeJL25w,2023-11-20T19:23:57Z,Applications of Organizational Network Analysis with Maya Townsend,"We had an enlightening talk on ""Applications of Organizational Network Analysis"" with Maya Townsend, the founder and lead ..."
https://www.youtube.com/watch?v=sZ4K1OZX0kY,sZ4K1OZX0kY,2023-01-28T13:51:55Z,The Case for On-Chain DAO Risk Management with Psychometrics with Matt Barney,"Matt Barney Ph.D. is an Organizational Psychologist, serial entrepreneur and founder of XLNC, a consulting, training and ..."
